locus_tag	ftype	length_bp	gene	EC_number	COG	product
IGKOFFHN_00674	gene	1305	oprD_2			
IGKOFFHN_00674	CDS	1305	oprD_2	3.4.21.-		Porin D
IGKOFFHN_00675	gene	747				
IGKOFFHN_00675	CDS	747				hypothetical protein
IGKOFFHN_00676	gene	378				
IGKOFFHN_00676	CDS	378				hypothetical protein
IGKOFFHN_00677	gene	717	ygaZ			
IGKOFFHN_00677	CDS	717	ygaZ		COG1296	Inner membrane protein YgaZ
IGKOFFHN_00678	gene	318				
IGKOFFHN_00678	CDS	318				hypothetical protein
IGKOFFHN_00679	gene	927				
IGKOFFHN_00679	CDS	927				hypothetical protein
IGKOFFHN_00680	gene	219				
IGKOFFHN_00680	CDS	219		5.3.2.-	COG1942	putative tautomerase
IGKOFFHN_00681	gene	645				
IGKOFFHN_00681	CDS	645				hypothetical protein
IGKOFFHN_00682	gene	711	bacC_1			
IGKOFFHN_00682	CDS	711	bacC_1	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
IGKOFFHN_00683	gene	267				
IGKOFFHN_00683	CDS	267				hypothetical protein
IGKOFFHN_00684	gene	183	hicA			
IGKOFFHN_00684	CDS	183	hicA	3.1.-.-		putative mRNA interferase toxin HicA
IGKOFFHN_00685	gene	426	hicB			
IGKOFFHN_00685	CDS	426	hicB		COG1598	Antitoxin HicB
IGKOFFHN_00686	gene	76				
IGKOFFHN_00686	tRNA	76				tRNA-Thr(tgt)
IGKOFFHN_00687	gene	816				
IGKOFFHN_00687	CDS	816				hypothetical protein
IGKOFFHN_00688	gene	1236				
IGKOFFHN_00688	CDS	1236				hypothetical protein
IGKOFFHN_00689	gene	690	occM_1			
IGKOFFHN_00689	CDS	690	occM_1			Octopine transport system permease protein OccM
IGKOFFHN_00690	gene	696	hisQ_1			
IGKOFFHN_00690	CDS	696	hisQ_1		COG4215	Histidine transport system permease protein HisQ
IGKOFFHN_00691	gene	750	artJ			
IGKOFFHN_00691	CDS	750	artJ		COG0834	ABC transporter arginine-binding protein 1
IGKOFFHN_00692	gene	774	occP			
IGKOFFHN_00692	CDS	774	occP			Octopine permease ATP-binding protein P
IGKOFFHN_00693	gene	1392	gabP			
IGKOFFHN_00693	CDS	1392	gabP		COG1113	GABA permease
IGKOFFHN_00694	gene	453				
IGKOFFHN_00694	CDS	453				hypothetical protein
IGKOFFHN_00695	gene	414				
IGKOFFHN_00695	CDS	414				hypothetical protein
IGKOFFHN_00696	gene	954				
IGKOFFHN_00696	CDS	954				hypothetical protein
IGKOFFHN_00697	gene	450				
IGKOFFHN_00697	CDS	450				hypothetical protein
IGKOFFHN_00698	gene	339				
IGKOFFHN_00698	CDS	339				hypothetical protein
IGKOFFHN_00699	gene	76				
IGKOFFHN_00699	tRNA	76				tRNA-Phe(gaa)
IGKOFFHN_00700	gene	273				
IGKOFFHN_00700	CDS	273			COG2924	putative Fe(2+)-trafficking protein
IGKOFFHN_00701	gene	1068	mutY			
IGKOFFHN_00701	CDS	1068	mutY	3.2.2.31	COG1194	Adenine DNA glycosylase
IGKOFFHN_00702	gene	2226				
IGKOFFHN_00702	CDS	2226				hypothetical protein
IGKOFFHN_00703	gene	1665				
IGKOFFHN_00703	CDS	1665				hypothetical protein
IGKOFFHN_00704	gene	594	hisB			
IGKOFFHN_00704	CDS	594	hisB		COG0131	Histidine biosynthesis bifunctional protein HisB
IGKOFFHN_00705	gene	639	hisH			
IGKOFFHN_00705	CDS	639	hisH	4.3.2.10	COG0118	Imidazole glycerol phosphate synthase subunit HisH
IGKOFFHN_00706	gene	261				
IGKOFFHN_00706	CDS	261				hypothetical protein
IGKOFFHN_00707	gene	738	hisA			
IGKOFFHN_00707	CDS	738	hisA	5.3.1.16	COG0106	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
IGKOFFHN_00708	gene	771	hisF			
IGKOFFHN_00708	CDS	771	hisF	4.3.2.10	COG0107	Imidazole glycerol phosphate synthase subunit HisF
IGKOFFHN_00709	gene	1467				
IGKOFFHN_00709	CDS	1467				hypothetical protein
IGKOFFHN_00710	gene	756				
IGKOFFHN_00710	CDS	756				hypothetical protein
IGKOFFHN_00711	gene	1347				
IGKOFFHN_00711	CDS	1347				hypothetical protein
IGKOFFHN_00712	gene	771				
IGKOFFHN_00712	CDS	771			COG2861	putative protein
IGKOFFHN_00713	gene	1320	ctpB			
IGKOFFHN_00713	CDS	1320	ctpB	3.4.21.102	COG0793	Carboxy-terminal processing protease CtpB
IGKOFFHN_00714	gene	1305	envC			
IGKOFFHN_00714	CDS	1305	envC		COG4942	Murein hydrolase activator EnvC
IGKOFFHN_00715	gene	1527	gpmI			
IGKOFFHN_00715	CDS	1527	gpmI	5.4.2.12	COG0696	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
IGKOFFHN_00716	gene	414	yibN			
IGKOFFHN_00716	CDS	414	yibN		COG0607	putative protein YibN
IGKOFFHN_00717	gene	255	grxC			
IGKOFFHN_00717	CDS	255	grxC		COG0695	Glutaredoxin 3
IGKOFFHN_00718	gene	486	secB			
IGKOFFHN_00718	CDS	486	secB		COG1952	Protein-export protein SecB
IGKOFFHN_00719	gene	456	trmL			
IGKOFFHN_00719	CDS	456	trmL	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
IGKOFFHN_00720	gene	363				
IGKOFFHN_00720	CDS	363				hypothetical protein
IGKOFFHN_00721	gene	1437	glnG			
IGKOFFHN_00721	CDS	1437	glnG		COG2204	DNA-binding transcriptional regulator NtrC
IGKOFFHN_00722	gene	1086	glnL			
IGKOFFHN_00722	CDS	1086	glnL	2.7.13.3	COG3852	Sensory histidine kinase/phosphatase NtrB
IGKOFFHN_00723	gene	624				
IGKOFFHN_00723	CDS	624				hypothetical protein
IGKOFFHN_00724	gene	507				
IGKOFFHN_00724	CDS	507				hypothetical protein
IGKOFFHN_00725	gene	1290				
IGKOFFHN_00725	CDS	1290				hypothetical protein
IGKOFFHN_00726	gene	1407	glnA_1			
IGKOFFHN_00726	CDS	1407	glnA_1	6.3.1.2		Glutamine synthetase
IGKOFFHN_00727	gene	1455	thiI			
IGKOFFHN_00727	CDS	1455	thiI	2.8.1.4	COG0301	tRNA sulfurtransferase
IGKOFFHN_00728	gene	1821	typA			
IGKOFFHN_00728	CDS	1821	typA		COG1217	GTP-binding protein TypA/BipA
IGKOFFHN_00729	gene	1152				
IGKOFFHN_00729	CDS	1152				IS481 family transposase ISHne2
IGKOFFHN_00730	gene	438				
IGKOFFHN_00730	CDS	438				hypothetical protein
IGKOFFHN_00731	gene	2451	malP			
IGKOFFHN_00731	CDS	2451	malP	2.4.1.1	COG0058	Maltodextrin phosphorylase
IGKOFFHN_00732	gene	3597				
IGKOFFHN_00732	CDS	3597				hypothetical protein
IGKOFFHN_00733	gene	1365				
IGKOFFHN_00733	CDS	1365				hypothetical protein
IGKOFFHN_00734	gene	1011	fbp_1			
IGKOFFHN_00734	CDS	1011	fbp_1	3.1.3.11	COG0158	Fructose-1,6-bisphosphatase class 1
IGKOFFHN_00735	gene	603				
IGKOFFHN_00735	CDS	603				hypothetical protein
IGKOFFHN_00736	gene	1881	pctC			
IGKOFFHN_00736	CDS	1881	pctC		COG0840	Methyl-accepting chemotaxis protein PctC
IGKOFFHN_00737	gene	255				
IGKOFFHN_00737	CDS	255				hypothetical protein
IGKOFFHN_00738	gene	570	blc			
IGKOFFHN_00738	CDS	570	blc		COG3040	Outer membrane lipoprotein Blc
IGKOFFHN_00739	gene	1365				
IGKOFFHN_00739	CDS	1365		3.5.4.32	COG0402	8-oxoguanine deaminase
IGKOFFHN_00740	gene	750	nagR_2			
IGKOFFHN_00740	CDS	750	nagR_2		COG2188	HTH-type transcriptional repressor NagR
IGKOFFHN_00741	gene	570	ves			
IGKOFFHN_00741	CDS	570	ves			Protein Ves
IGKOFFHN_00742	gene	1683	hutU			
IGKOFFHN_00742	CDS	1683	hutU	4.2.1.49	COG2987	Urocanate hydratase
IGKOFFHN_00743	gene	1473				
IGKOFFHN_00743	CDS	1473				hypothetical protein
IGKOFFHN_00744	gene	969				
IGKOFFHN_00744	CDS	969				hypothetical protein
IGKOFFHN_00745	gene	852	opuAB_1			
IGKOFFHN_00745	CDS	852	opuAB_1		COG4176	Glycine betaine transport system permease protein OpuAB
IGKOFFHN_00746	gene	831	opuAA			
IGKOFFHN_00746	CDS	831	opuAA	7.6.2.9	COG4175	Glycine betaine transport ATP-binding protein OpuAA
IGKOFFHN_00747	gene	1524	hutH_1			
IGKOFFHN_00747	CDS	1524	hutH_1	4.3.1.3	COG2986	Histidine ammonia-lyase
IGKOFFHN_00748	gene	1533	hutH_2			
IGKOFFHN_00748	CDS	1533	hutH_2	4.3.1.3	COG2986	Histidine ammonia-lyase
IGKOFFHN_00749	gene	1206	hutI			
IGKOFFHN_00749	CDS	1206	hutI	3.5.2.7	COG1228	Imidazolonepropionase
IGKOFFHN_00750	gene	804				
IGKOFFHN_00750	CDS	804				hypothetical protein
IGKOFFHN_00751	gene	948				
IGKOFFHN_00751	CDS	948				hypothetical protein
IGKOFFHN_00752	gene	918	aes_1			
IGKOFFHN_00752	CDS	918	aes_1	3.1.1.-		Acetyl esterase
IGKOFFHN_00753	gene	972	pip			
IGKOFFHN_00753	CDS	972	pip	3.4.11.5		Proline iminopeptidase
IGKOFFHN_00754	gene	438	dtd			
IGKOFFHN_00754	CDS	438	dtd	3.1.1.96	COG1490	D-aminoacyl-tRNA deacylase
IGKOFFHN_00755	gene	1815	mdoG			
IGKOFFHN_00755	CDS	1815	mdoG		COG3131	Glucans biosynthesis protein G
IGKOFFHN_00756	gene	2571	opgH			
IGKOFFHN_00756	CDS	2571	opgH	2.4.1.-	COG2943	Glucans biosynthesis glucosyltransferase H
IGKOFFHN_00757	gene	798	fliY_3			
IGKOFFHN_00757	CDS	798	fliY_3		COG0834	L-cystine-binding protein FliY
IGKOFFHN_00758	gene	960				
IGKOFFHN_00758	CDS	960				hypothetical protein
IGKOFFHN_00759	gene	735	glnQ_4			
IGKOFFHN_00759	CDS	735	glnQ_4			Glutamine transport ATP-binding protein GlnQ
IGKOFFHN_00760	gene	1917	mcpQ_1			
IGKOFFHN_00760	CDS	1917	mcpQ_1		COG0840	Methyl-accepting chemotaxis protein McpQ
IGKOFFHN_00761	gene	708				
IGKOFFHN_00761	CDS	708				hypothetical protein
IGKOFFHN_00762	gene	789	tatC			
IGKOFFHN_00762	CDS	789	tatC		COG0805	Sec-independent protein translocase protein TatC
IGKOFFHN_00763	gene	447	tatB			
IGKOFFHN_00763	CDS	447	tatB		COG1826	Sec-independent protein translocase protein TatB
IGKOFFHN_00764	gene	279	tatA			
IGKOFFHN_00764	CDS	279	tatA		COG1826	Sec-independent protein translocase protein TatA
IGKOFFHN_00765	gene	333	hisE			
IGKOFFHN_00765	CDS	333	hisE	3.6.1.31	COG0140	Phosphoribosyl-ATP pyrophosphatase
IGKOFFHN_00766	gene	402	hisI			
IGKOFFHN_00766	CDS	402	hisI	3.5.4.19		Phosphoribosyl-AMP cyclohydrolase
IGKOFFHN_00767	gene	1605	ubiB			
IGKOFFHN_00767	CDS	1605	ubiB	2.7.-.-	COG0661	putative protein kinase UbiB
IGKOFFHN_00768	gene	624	ubiJ			
IGKOFFHN_00768	CDS	624	ubiJ		COG3165	Ubiquinone biosynthesis accessory factor UbiJ
IGKOFFHN_00769	gene	771	ubiE			
IGKOFFHN_00769	CDS	771	ubiE	2.1.1.163	COG2226	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
IGKOFFHN_00770	gene	276				
IGKOFFHN_00770	CDS	276				hypothetical protein
IGKOFFHN_00771	gene	423				
IGKOFFHN_00771	CDS	423				hypothetical protein
IGKOFFHN_00772	gene	879				
IGKOFFHN_00772	CDS	879				hypothetical protein
IGKOFFHN_00773	gene	621				
IGKOFFHN_00773	CDS	621				hypothetical protein
IGKOFFHN_00774	gene	1683	phaC_1			
IGKOFFHN_00774	CDS	1683	phaC_1	2.3.1.-	COG3243	Poly(3-hydroxyalkanoate) polymerase subunit PhaC
IGKOFFHN_00775	gene	855	catD_1			
IGKOFFHN_00775	CDS	855	catD_1	3.1.1.24	COG0596	3-oxoadipate enol-lactonase 2
IGKOFFHN_00776	gene	1680	phaC_2			
IGKOFFHN_00776	CDS	1680	phaC_2	2.3.1.-	COG3243	Poly(3-hydroxyalkanoate) polymerase subunit PhaC
IGKOFFHN_00777	gene	372				
IGKOFFHN_00777	CDS	372				hypothetical protein
IGKOFFHN_00778	gene	1338	hslU			
IGKOFFHN_00778	CDS	1338	hslU		COG1220	ATP-dependent protease ATPase subunit HslU
IGKOFFHN_00779	gene	531	hslV			
IGKOFFHN_00779	CDS	531	hslV	3.4.25.2	COG5405	ATP-dependent protease subunit HslV
IGKOFFHN_00780	gene	717	ftsN			
IGKOFFHN_00780	CDS	717	ftsN			Cell division protein FtsN
IGKOFFHN_00781	gene	1737	argS			
IGKOFFHN_00781	CDS	1737	argS	6.1.1.19		Arginine--tRNA ligase
IGKOFFHN_00782	gene	2235	priA			
IGKOFFHN_00782	CDS	2235	priA	3.6.4.-	COG1198	Primosomal protein N'
IGKOFFHN_00783	gene	219	rpmE			
IGKOFFHN_00783	CDS	219	rpmE		COG0254	50S ribosomal protein L31
IGKOFFHN_00784	gene	783				
IGKOFFHN_00784	CDS	783				hypothetical protein
IGKOFFHN_00785	gene	1269	maeB			
IGKOFFHN_00785	CDS	1269	maeB	1.1.1.40	COG0281	NADP-dependent malic enzyme
IGKOFFHN_00786	gene	2553	mrcA			
IGKOFFHN_00786	CDS	2553	mrcA		COG5009	Penicillin-binding protein 1A
IGKOFFHN_00787	gene	1065	ftsA_1			
IGKOFFHN_00787	CDS	1065	ftsA_1			Cell division protein FtsA
IGKOFFHN_00788	gene	567				
IGKOFFHN_00788	CDS	567				hypothetical protein
IGKOFFHN_00789	gene	624				
IGKOFFHN_00789	CDS	624				hypothetical protein
IGKOFFHN_00790	gene	525				
IGKOFFHN_00790	CDS	525				hypothetical protein
IGKOFFHN_00791	gene	2079	pilQ			
IGKOFFHN_00791	CDS	2079	pilQ			Type IV pilus biogenesis and competence protein PilQ
IGKOFFHN_00792	gene	492	aroK			
IGKOFFHN_00792	CDS	492	aroK	2.7.1.71	COG0703	Shikimate kinase 1
IGKOFFHN_00793	gene	1101	aroB			
IGKOFFHN_00793	CDS	1101	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
IGKOFFHN_00794	gene	1608	damX			
IGKOFFHN_00794	CDS	1608	damX			Cell division protein DamX
IGKOFFHN_00795	gene	4446	gltB			
IGKOFFHN_00795	CDS	4446	gltB	1.4.1.13	COG0067	Glutamate synthase [NADPH] large chain
IGKOFFHN_00796	gene	1419	gltD			
IGKOFFHN_00796	CDS	1419	gltD	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
IGKOFFHN_00797	gene	1068	hemE			
IGKOFFHN_00797	CDS	1068	hemE	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
IGKOFFHN_00798	gene	645				
IGKOFFHN_00798	CDS	645				hypothetical protein
IGKOFFHN_00799	gene	1269	recF_1			
IGKOFFHN_00799	CDS	1269	recF_1			DNA replication and repair protein RecF
IGKOFFHN_00800	gene	1278	ynfM			
IGKOFFHN_00800	CDS	1278	ynfM			Inner membrane transport protein YnfM
IGKOFFHN_00801	gene	897	benM_1			
IGKOFFHN_00801	CDS	897	benM_1			HTH-type transcriptional regulator BenM
IGKOFFHN_00802	gene	438				
IGKOFFHN_00802	CDS	438				hypothetical protein
IGKOFFHN_00803	gene	441				
IGKOFFHN_00803	CDS	441				hypothetical protein
IGKOFFHN_00804	gene	1236	fabF_1			
IGKOFFHN_00804	CDS	1236	fabF_1	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
IGKOFFHN_00805	gene	729	fabG_2			
IGKOFFHN_00805	CDS	729	fabG_2	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
IGKOFFHN_00806	gene	465				
IGKOFFHN_00806	CDS	465				hypothetical protein
IGKOFFHN_00807	gene	1197	fabF_2			
IGKOFFHN_00807	CDS	1197	fabF_2	2.3.1.179		3-oxoacyl-[acyl-carrier-protein] synthase 2
IGKOFFHN_00808	gene	483				
IGKOFFHN_00808	CDS	483				hypothetical protein
IGKOFFHN_00809	gene	726	COQ5_1			
IGKOFFHN_00809	CDS	726	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
IGKOFFHN_00810	gene	1248	kmo			
IGKOFFHN_00810	CDS	1248	kmo	1.14.13.9		Kynurenine 3-monooxygenase
IGKOFFHN_00811	gene	1161				
IGKOFFHN_00811	CDS	1161				hypothetical protein
IGKOFFHN_00812	gene	2340				
IGKOFFHN_00812	CDS	2340				hypothetical protein
IGKOFFHN_00813	gene	603				
IGKOFFHN_00813	CDS	603				hypothetical protein
IGKOFFHN_00814	gene	426				
IGKOFFHN_00814	CDS	426				hypothetical protein
IGKOFFHN_00815	gene	1545	cmdF			
IGKOFFHN_00815	CDS	1545	cmdF	5.4.3.6		Tyrosine 2,3-aminomutase
IGKOFFHN_00816	gene	948				
IGKOFFHN_00816	CDS	948				hypothetical protein
IGKOFFHN_00817	gene	735				
IGKOFFHN_00817	CDS	735				hypothetical protein
IGKOFFHN_00818	gene	1680	acs_2			
IGKOFFHN_00818	CDS	1680	acs_2	6.2.1.1		Acetyl-coenzyme A synthetase
IGKOFFHN_00819	gene	546				
IGKOFFHN_00819	CDS	546				hypothetical protein
IGKOFFHN_00820	gene	255	acpP_1			
IGKOFFHN_00820	CDS	255	acpP_1		COG0236	Acyl carrier protein
IGKOFFHN_00821	gene	261	acpP_2			
IGKOFFHN_00821	CDS	261	acpP_2			Acyl carrier protein
IGKOFFHN_00822	gene	810				
IGKOFFHN_00822	CDS	810				hypothetical protein
IGKOFFHN_00823	gene	726				
IGKOFFHN_00823	CDS	726				hypothetical protein
IGKOFFHN_00824	gene	771	soj_1			
IGKOFFHN_00824	CDS	771	soj_1	3.6.-.-	COG1192	Sporulation initiation inhibitor protein Soj
IGKOFFHN_00825	gene	435	trxC			
IGKOFFHN_00825	CDS	435	trxC	1.8.1.8	COG0526	Thioredoxin 2
IGKOFFHN_00826	gene	297	higB_1			
IGKOFFHN_00826	CDS	297	higB_1	3.1.-.-	COG4680	mRNA interferase HigB
IGKOFFHN_00827	gene	402	higA			
IGKOFFHN_00827	CDS	402	higA		COG5499	Antitoxin HigA
IGKOFFHN_00828	gene	1464	selO			
IGKOFFHN_00828	CDS	1464	selO	2.7.7.-	COG0397	Protein adenylyltransferase SelO
IGKOFFHN_00829	gene	3354	mscK			
IGKOFFHN_00829	CDS	3354	mscK		COG3264	Mechanosensitive channel MscK
IGKOFFHN_00830	gene	1743	nhaP2_1			
IGKOFFHN_00830	CDS	1743	nhaP2_1		COG3263	K(+)/H(+) antiporter NhaP2
IGKOFFHN_00831	gene	1626				
IGKOFFHN_00831	CDS	1626				hypothetical protein
IGKOFFHN_00832	gene	231				
IGKOFFHN_00832	CDS	231				hypothetical protein
IGKOFFHN_00833	gene	303				
IGKOFFHN_00833	CDS	303				hypothetical protein
IGKOFFHN_00834	gene	1938	mcpH_1			
IGKOFFHN_00834	CDS	1938	mcpH_1			Methyl-accepting chemotaxis protein McpH
IGKOFFHN_00835	gene	1803	dmdC_1			
IGKOFFHN_00835	CDS	1803	dmdC_1	1.3.8.-	COG1960	3-methylmercaptopropionyl-CoA dehydrogenase
IGKOFFHN_00836	gene	3954	putA			
IGKOFFHN_00836	CDS	3954	putA		COG0506	Bifunctional protein PutA
IGKOFFHN_00837	gene	1485	putP			
IGKOFFHN_00837	CDS	1485	putP		COG0591	Sodium/proline symporter
IGKOFFHN_00838	gene	2016	vgrG1_2			
IGKOFFHN_00838	CDS	2016	vgrG1_2	6.3.2.-	COG3501	Actin cross-linking toxin VgrG1
IGKOFFHN_00839	gene	753				
IGKOFFHN_00839	CDS	753				hypothetical protein
IGKOFFHN_00840	gene	318				
IGKOFFHN_00840	CDS	318				hypothetical protein
IGKOFFHN_00841	gene	414				
IGKOFFHN_00841	CDS	414				hypothetical protein
IGKOFFHN_00842	gene	840	rlmJ			
IGKOFFHN_00842	CDS	840	rlmJ	2.1.1.266	COG2961	Ribosomal RNA large subunit methyltransferase J
IGKOFFHN_00843	gene	666	msrA_2			
IGKOFFHN_00843	CDS	666	msrA_2	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
IGKOFFHN_00844	gene	2697				
IGKOFFHN_00844	CDS	2697				hypothetical protein
IGKOFFHN_00845	gene	1398				
IGKOFFHN_00845	CDS	1398				hypothetical protein
IGKOFFHN_00846	gene	1968				
IGKOFFHN_00846	CDS	1968		2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
IGKOFFHN_00847	gene	2646	aceE			
IGKOFFHN_00847	CDS	2646	aceE	1.2.4.1	COG2609	Pyruvate dehydrogenase E1 component
IGKOFFHN_00848	gene	2940	glnE			
IGKOFFHN_00848	CDS	2940	glnE		COG1391	Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme
IGKOFFHN_00849	gene	1035	rfaF			
IGKOFFHN_00849	CDS	1035	rfaF	2.-.-.-	COG0859	ADP-heptose--LPS heptosyltransferase 2
IGKOFFHN_00850	gene	1062	rfaC			
IGKOFFHN_00850	CDS	1062	rfaC	2.-.-.-	COG0859	Lipopolysaccharide heptosyltransferase 1
IGKOFFHN_00851	gene	1122	rfaG			
IGKOFFHN_00851	CDS	1122	rfaG	2.4.-.-		Lipopolysaccharide core biosynthesis protein RfaG
IGKOFFHN_00852	gene	807	rfaP			
IGKOFFHN_00852	CDS	807	rfaP	2.7.1.-		Lipopolysaccharide core heptose(I) kinase RfaP
IGKOFFHN_00853	gene	735				
IGKOFFHN_00853	CDS	735				hypothetical protein
IGKOFFHN_00854	gene	753				
IGKOFFHN_00854	CDS	753				hypothetical protein
IGKOFFHN_00855	gene	1452				
IGKOFFHN_00855	CDS	1452				hypothetical protein
IGKOFFHN_00856	gene	336				
IGKOFFHN_00856	CDS	336				hypothetical protein
IGKOFFHN_00857	gene	1758	tobZ			
IGKOFFHN_00857	CDS	1758	tobZ	6.1.2.2		nebramycin 5' synthase
IGKOFFHN_00858	gene	1131	mshA_1			
IGKOFFHN_00858	CDS	1131	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
IGKOFFHN_00859	gene	897				
IGKOFFHN_00859	CDS	897				hypothetical protein
IGKOFFHN_00860	gene	1401				
IGKOFFHN_00860	CDS	1401				hypothetical protein
IGKOFFHN_00861	gene	957				
IGKOFFHN_00861	CDS	957				hypothetical protein
IGKOFFHN_00862	gene	762				
IGKOFFHN_00862	CDS	762				hypothetical protein
IGKOFFHN_00863	gene	1092	mshA_2			
IGKOFFHN_00863	CDS	1092	mshA_2	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
IGKOFFHN_00864	gene	606				
IGKOFFHN_00864	CDS	606				hypothetical protein
IGKOFFHN_00865	gene	1173				
IGKOFFHN_00865	CDS	1173				hypothetical protein
IGKOFFHN_00866	gene	1806	msbA			
IGKOFFHN_00866	CDS	1806	msbA	7.5.2.6	COG1132	Lipid A export ATP-binding/permease protein MsbA
IGKOFFHN_00867	gene	705				
IGKOFFHN_00867	CDS	705				hypothetical protein
IGKOFFHN_00868	gene	612	cysC_2			
IGKOFFHN_00868	CDS	612	cysC_2	2.7.1.25	COG0529	Adenylyl-sulfate kinase
IGKOFFHN_00869	gene	1425	hldE			
IGKOFFHN_00869	CDS	1425	hldE		COG2870	Bifunctional protein HldE
IGKOFFHN_00870	gene	969				
IGKOFFHN_00870	CDS	969				hypothetical protein
IGKOFFHN_00871	gene	813				
IGKOFFHN_00871	CDS	813				hypothetical protein
IGKOFFHN_00872	gene	1176				
IGKOFFHN_00872	CDS	1176		1.-.-.-	COG0578	putative FAD-dependent oxidoreductase
IGKOFFHN_00873	gene	333				
IGKOFFHN_00873	CDS	333			COG2076	Multidrug transporter
IGKOFFHN_00874	gene	903	hdfR_3			
IGKOFFHN_00874	CDS	903	hdfR_3			HTH-type transcriptional regulator HdfR
IGKOFFHN_00875	gene	1281	waaA			
IGKOFFHN_00875	CDS	1281	waaA	2.4.99.12	COG1519	3-deoxy-D-manno-octulosonic acid transferase
IGKOFFHN_00876	gene	1434	tolC_2			
IGKOFFHN_00876	CDS	1434	tolC_2		COG1538	Outer membrane protein TolC
IGKOFFHN_00877	gene	1890	thiC			
IGKOFFHN_00877	CDS	1890	thiC	4.1.99.17	COG0422	Phosphomethylpyrimidine synthase
IGKOFFHN_00878	gene	1293				
IGKOFFHN_00878	CDS	1293				hypothetical protein
IGKOFFHN_00879	gene	747				
IGKOFFHN_00879	CDS	747				hypothetical protein
IGKOFFHN_00880	gene	618	nudF			
IGKOFFHN_00880	CDS	618	nudF	3.6.1.13		ADP-ribose pyrophosphatase
IGKOFFHN_00881	gene	453				
IGKOFFHN_00881	CDS	453				hypothetical protein
IGKOFFHN_00882	gene	816	cpdA_1			
IGKOFFHN_00882	CDS	816	cpdA_1	3.1.4.53	COG1409	3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
IGKOFFHN_00883	gene	609				
IGKOFFHN_00883	CDS	609				hypothetical protein
IGKOFFHN_00884	gene	1908	parE			
IGKOFFHN_00884	CDS	1908	parE	5.6.2.2	COG0187	DNA topoisomerase 4 subunit B
IGKOFFHN_00885	gene	990				
IGKOFFHN_00885	CDS	990				hypothetical protein
IGKOFFHN_00886	gene	525				
IGKOFFHN_00886	CDS	525				hypothetical protein
IGKOFFHN_00887	gene	2265	parC			
IGKOFFHN_00887	CDS	2265	parC	5.6.2.2	COG0188	DNA topoisomerase 4 subunit A
IGKOFFHN_00888	gene	711				
IGKOFFHN_00888	CDS	711				hypothetical protein
IGKOFFHN_00889	gene	1509				
IGKOFFHN_00889	CDS	1509				hypothetical protein
IGKOFFHN_00890	gene	1215	serB2			
IGKOFFHN_00890	CDS	1215	serB2	3.1.3.3	COG0560	Phosphoserine phosphatase SerB2
IGKOFFHN_00891	gene	1755	fimW			
IGKOFFHN_00891	CDS	1755	fimW			Cyclic-di-GMP receptor FimW
IGKOFFHN_00892	gene	402				
IGKOFFHN_00892	CDS	402				Lectin OAA
IGKOFFHN_00893	gene	861	psd			
IGKOFFHN_00893	CDS	861	psd	4.1.1.65	COG0688	Phosphatidylserine decarboxylase proenzyme
IGKOFFHN_00894	gene	816	rhdA			
IGKOFFHN_00894	CDS	816	rhdA	2.8.1.1	COG2897	Thiosulfate sulfurtransferase
IGKOFFHN_00895	gene	1539				
IGKOFFHN_00895	CDS	1539				hypothetical protein
IGKOFFHN_00896	gene	852	motA			
IGKOFFHN_00896	CDS	852	motA		COG1291	Motility protein A
IGKOFFHN_00897	gene	1068	motB_1			
IGKOFFHN_00897	CDS	1068	motB_1		COG1360	Motility protein B
IGKOFFHN_00898	gene	492				
IGKOFFHN_00898	CDS	492				hypothetical protein
IGKOFFHN_00899	gene	960				
IGKOFFHN_00899	CDS	960				hypothetical protein
IGKOFFHN_00900	gene	408				
IGKOFFHN_00900	CDS	408				hypothetical protein
IGKOFFHN_00901	gene	1032	rsgA			
IGKOFFHN_00901	CDS	1032	rsgA	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA
IGKOFFHN_00902	gene	543	orn			
IGKOFFHN_00902	CDS	543	orn	3.1.-.-	COG1949	Oligoribonuclease
IGKOFFHN_00903	gene	612				
IGKOFFHN_00903	CDS	612				hypothetical protein
IGKOFFHN_00904	gene	1032				
